PIP region,year,"Prosperity Gap, z=25/day","Prosperity Gap regional contribution to global, z=25/day","Inequality, z=ybar","Mean, $/day"
OHI,1981,1.445811269160212,.2707711160182953,2.057795524597168,35.58202109708573
SAS,1981,14.77050424265486,3.025107145309448,1.368167877197266,2.315709506603037
LAC,1981,7.568221988864529,.6115254759788513,3.542909145355225,11.70324155331363
ECA,1981,3.829042687434873,.3629988431930542,2.028933763504028,13.24700357196674
EAP,1981,24.16565720240078,7.368800163269043,1.662241578102112,1.719632040737967
SSA,1981,16.28807888519025,1.441603422164917,2.45461368560791,3.767500213584365
WLD,1981,13.30891613493779,13.30891609191895,5.577254295349121,10.47653696659969
MNA,1981,5.867850627677565,.2281099110841751,1.685619473457336,7.181587981190622
MNA,1982,5.78414802231343,.2284455150365829,1.666504621505737,7.202895835459392
ECA,1982,3.827110455750513,.3596695959568024,2.025764942169189,13.23299242250995
SSA,1982,16.60438830782089,1.487295269966125,2.448232889175415,3.68612341254547
SAS,1982,14.5037630403249,2.986442565917969,1.36122453212738,2.346329976274542
EAP,1982,22.6169448779509,6.889998435974121,1.627287149429321,1.798747692586687
OHI,1982,1.442336763486729,.2673246264457703,2.090137720108032,36.22832422279338
WLD,1982,12.84407049295061,12.84407043457031,5.416042327880859,10.54191206025219
LAC,1982,7.708577325406808,.6248944997787476,3.567553281784058,11.57007655729362
MNA,1983,5.681816950812551,.2274347394704819,1.672438979148865,7.358733104414312
ECA,1983,3.776860363749047,.3520005941390991,2.02943754196167,13.43336414845287
OHI,1983,1.413448085159739,.2591573297977448,2.082818746566772,36.83932031705439
EAP,1983,20.91494761204105,6.365514755249023,1.587588310241699,1.897671939397531
LAC,1983,8.500510292096928,.6914311647415161,3.6889808177948,10.84929255513277
WLD,1983,12.34786725509564,12.34786701202393,5.229279041290283,10.58741321930292
SSA,1983,17.12670806459761,1.550787448883057,2.4518141746521,3.578933872263808
SAS,1983,14.00487520540224,2.901541471481323,1.357993125915527,2.424143491403348
LAC,1984,8.404782483260515,.6860026121139526,3.677727937698364,10.93939069859241
OHI,1984,1.377966129374633,.2499163746833801,2.086478471755981,37.85431255388442
ECA,1984,3.79695857200812,.3512464165687561,2.055078506469727,13.53108396285881
MNA,1984,5.584441991043861,.2267369478940964,1.681131720542908,7.525960814089822
WLD,1984,11.66078884654547,11.66078853607178,5.026237964630127,10.77593888268714
SAS,1984,13.71854701097436,2.860796451568604,1.357521414756775,2.473879765562401
EAP,1984,18.7297020613365,5.691507339477539,1.530507326126099,2.042887917052525
SSA,1984,17.42836024391694,1.594582557678223,2.465711355209351,3.536923838007132
WLD,1985,11.29344234452135,11.29344272613525,4.91729736328125,10.88529318967745
OHI,1985,1.344819099097953,.2412587553262711,2.07497763633728,38.57354649352662
ECA,1985,3.778487007243961,.3468686640262604,2.062500715255737,13.64634027426396
SSA,1985,17.33855064053052,1.603709101676941,2.449220180511475,3.531466268609554
MNA,1985,5.517345018582544,.2270408868789673,1.681908369064331,7.621004088268231
EAP,1985,17.79477766470386,5.399718284606934,1.513503074645996,2.12633035110021
SAS,1985,13.41802539450044,2.81579065322876,1.358415365219116,2.530952500363437
LAC,1985,8.050930765179169,.6590558886528015,3.524480104446411,10.94432504438784
MNA,1986,5.55737586357818,.2316362708806992,1.659029722213745,7.463188200595369
ECA,1986,3.789987794467343,.3451607525348663,2.096408128738403,13.82859454998439
SSA,1986,17.34560990740053,1.622093915939331,2.444619178771973,3.523397580552078
EAP,1986,17.26213847169661,5.23338794708252,1.516695380210876,2.196563544117078
SAS,1986,13.1747526479867,2.780701398849487,1.35820734500885,2.577291933904233
OHI,1986,1.320295671878178,.2342847138643265,2.09229850769043,39.61799129709335
WLD,1986,11.00901785407502,11.00901794433594,4.942574024200439,11.22392093947698
LAC,1986,6.846615829308161,.5617529153823853,3.617874622344971,13.21044861366514
SSA,1987,17.37782930111197,1.643199920654297,2.432579755783081,3.499544939924911
EAP,1987,16.53706251379597,5.011696815490723,1.523300290107727,2.302858015181693
MNA,1987,5.649691313771918,.2382942587137222,1.643474578857422,7.272408630527584
LAC,1987,7.566093115177039,.6218647956848145,3.640247583389282,12.02816122611267
OHI,1987,1.280565850714341,.2247594594955444,2.113584041595459,41.26269653620715
WLD,1987,10.84645822750908,10.84645843505859,4.934234142303467,11.372916093672
ECA,1987,3.787241055912808,.3421039283275604,2.103574991226196,13.88593338949274
SAS,1987,13.02991583768218,2.764539003372192,1.356455683708191,2.602579459650421
MNA,1988,5.585757456408543,.2381068170070648,1.608082056045532,7.197242558005981
SAS,1988,12.78782768059589,2.727463722229004,1.354441046714783,2.647910753215836
SSA,1988,17.3662305848225,1.659362435340881,2.431260347366333,3.499982699544169
ECA,1988,3.72203456945628,.3333781659603119,2.097529888153076,14.08859779898365
EAP,1988,15.31048621182287,4.638588428497314,1.505932927131653,2.458989450064934
LAC,1988,7.814282985076301,.6433108448982239,3.67958664894104,11.77199099653678
WLD,1988,10.44912688555013,10.44912719726563,4.828895092010498,11.55334643197887
OHI,1988,1.202924417183062,.2089162170886993,2.042258024215698,42.44360476355367
ECA,1989,3.738072243391609,.331467479467392,2.121215105056763,14.18655747114717
SSA,1989,17.56719381871565,1.696194052696228,2.452010631561279,3.489473859491284
MNA,1989,5.619909533166234,.2420488148927689,1.574360132217407,7.003494137705717
EAP,1989,16.92033686595934,5.122938632965088,1.578646183013916,2.332468532809084
SAS,1989,12.72920376031796,2.729890584945679,1.353021502494812,2.657317575550202
LAC,1989,7.713680771470508,.6360421776771545,3.693201065063477,11.9696458766672
