country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
ABW,1981,national,income,2.157508845671,2.252045631408691,29.226891731728
ABW,1982,national,income,2.137779064946,2.254053592681885,29.522929678197
ABW,1983,national,income,2.120768673311,2.255810976028442,29.782931681782
ABW,1984,national,income,2.106421389698,2.257304668426514,30.005643812343
ABW,1985,national,income,2.094939864009,2.258526086807251,30.186417735468
ABW,1986,national,income,2.853008865494,2.130343675613403,20.907618798547
ABW,1987,national,income,2.427058010497,2.106806993484497,24.305393121391
ABW,1988,national,income,2.1925431613,2.087775230407715,26.662055573514
ABW,1989,national,income,1.919467697043,2.062061786651611,30.08007227865
ABW,1990,national,income,1.746130228816,2.043469190597534,32.767965649374
ABW,1991,national,consumption,2.583657284521,2.089869260787964,22.648646719815
ABW,1992,national,consumption,2.565807663673,2.089008092880249,22.796809260244
ABW,1993,national,consumption,2.557686039898,2.087823152542114,22.856225665539
ABW,1994,national,income,1.625069832763,2.029179096221924,34.962813755471
ABW,1995,national,income,1.628756038418,2.028853178024292,34.878084864755
ABW,1996,national,income,1.671731126127,2.03302526473999,34.051353549201
ABW,1997,national,income,1.62426204735,2.026785373687744,34.938938022268
ABW,1998,national,income,1.630624380307,2.026795387268066,34.802787046666
ABW,1999,national,income,1.632827520342,2.024841785430908,34.722327468632
ABW,2000,national,income,1.534737108879,2.012681245803833,36.7196923268
ABW,2001,national,income,1.486007751461,2.006718397140503,37.811452804085
ABW,2002,national,income,1.506146969675,2.009430408477783,37.356281154388
ABW,2003,national,income,1.502689487099,2.009260892868042,37.439074413507
ABW,2004,national,income,1.43120299512,1.998815298080444,39.104746021575
ABW,2005,national,income,1.466685370361,2.004921674728394,38.275289399117
ABW,2006,national,income,1.47154103144,2.00565767288208,38.162997828295
ABW,2007,national,income,1.434092836221,2.001587390899658,39.080067076841
ABW,2008,national,income,1.414217740474,1.999751806259155,39.592949876422
ABW,2009,national,income,1.595862447912,2.024476766586304,35.520196877911
ABW,2010,national,income,1.633294448523,2.032107830047607,34.836964905175
ABW,2011,national,income,1.584909721028,2.029579877853394,35.855817603954
ABW,2012,national,income,1.614796973082,2.036765575408936,35.316785855332
ABW,2013,national,income,1.535418547387,2.030113220214844,37.021284821445
ABW,2014,national,income,1.567707630614,2.036884546279907,36.379721255373
ABW,2015,national,income,1.58587535616,2.04134464263916,36.041704486163
ABW,2016,national,income,1.565038899584,2.040899515151978,36.513589360677
ABW,2017,national,income,1.461074760549,2.029013156890869,38.883957512668
ABW,2018,national,income,1.422911415449,2.02768349647522,39.900682905275
ABW,2019,national,income,1.451487891311,2.03387975692749,39.234660092019
ABW,2020,national,income,1.935462706071,2.083865404129028,30.146915232473
ABW,2021,national,income,1.588434264587,2.023048400878906,35.661128392286
