PIP region,year,"Prosperity Gap, z=28/day","Prosperity Gap regional contribution to global, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
AFE,1981,15.83422557721802,.8341972827911377,2.612285137176514,4.619359582140112
EAS,1981,18.35970148452975,6.41432523727417,3.2460777759552,4.950525906568727
AFW,1981,15.59759051678215,.5653120875358582,2.290658473968506,4.112073388864587
SSF,1981,15.73778106425969,1.399509429931641,2.480165719985962,4.412606746145205
LCN,1981,7.318034054138397,.5954002737998962,3.423414707183838,13.09854642861523
ECS,1981,2.740334896419621,.4855169057846069,2.429664134979248,24.82565079897597
SAS,1981,10.9659771219641,2.003796815872192,1.273605227470398,3.251962420566539
NAC,1981,.9701054142467507,.0546071864664555,1.8911372423172,54.58359779786821
WLD,1981,11.60497241914101,11.60497283935547,4.903929710388184,11.83199971369039
MEA,1981,10.16081761267523,.651816725730896,3.276037216186523,9.027722452871544
AFE,1982,16.0548048476935,.8577666878700256,2.617096185684204,4.564284070613851
SAS,1982,10.75951417491702,1.976843357086182,1.266900897026062,3.29691705758836
SSF,1982,16.02674251585115,1.443496942520142,2.471080780029297,4.317175559453081
AFW,1982,15.98582348989791,.5857301950454712,2.259056568145752,3.956854840623984
MEA,1982,10.0202417377168,.6515558958053589,3.192539215087891,8.921051939829495
ECS,1982,2.730257795093939,.4778333008289337,2.447537422180176,25.10057771691275
NAC,1982,1.076176522987316,.0600733235478401,2.123610496520996,55.25217233198229
WLD,1982,11.29616878614658,11.29616832733154,4.80143928527832,11.90140665066364
EAS,1982,17.43234952936023,6.078946113586426,3.194775819778442,5.131478284566426
LCN,1982,7.441429386919618,.6074196100234985,3.451619148254395,12.98746900424439
LCN,1983,8.182430217115469,.6701381802558899,3.570554971694946,12.21831839377209
WLD,1983,10.97115129768424,10.97115135192871,4.675366401672363,11.93222598056528
SAS,1983,10.36170423067297,1.914291501045227,1.260056257247925,3.404997169623404
NAC,1983,1.047166268617822,.0579444132745266,2.129370450973511,56.93687113946029
MEA,1983,9.828228059205166,.6479925513267517,3.029755115509033,8.631580472270123
AFE,1983,16.50397140200437,.8936200737953186,2.643115997314453,4.484208447287285
ECS,1983,2.713842063476536,.4692238867282867,2.441338777542114,25.18845409649635
AFW,1983,16.71997921708077,.6183874607086182,2.230962991714478,3.736066936979324
SSF,1983,16.5916370975945,1.512007474899292,2.477237462997437,4.180578942596434
EAS,1983,16.37537306909254,5.699553489685059,3.103073120117188,5.305897430098032
AFW,1984,16.91206153387932,.6309888362884521,2.217686653137207,3.671653275398533
