country/economy code,year,"reporting data level: rural, urban, or national coverage",income or consumption used in survey,"Prosperity Gap, z=28/day","Inequality, z=ybar","Mean, $/day 2021 PPPs"
AGO,2000,national,consumption,9.60920241805924,2.875986576080322,8.380260818148001
AGO,2008,national,consumption,6.838755590243519,1.807796239852905,7.401681958898
AGO,2018,national,consumption,10.96424214766085,2.434865474700928,6.218052215342
ALB,1996,national,consumption,4.209428087906208,1.269147515296936,8.442032597856
ALB,2002,national,consumption,4.429309761017079,1.364912986755371,8.628333842450999
ALB,2005,national,consumption,3.860996725132536,1.344995975494385,9.753929077405999
ALB,2008,national,consumption,3.45062798655983,1.316423296928406,10.682071072609
ALB,2012,national,consumption,3.634575084843396,1.314640998840332,10.127717460025
ALB,2014,national,consumption,3.839190183916707,1.479709982872009,10.791827595527
ALB,2015,national,consumption,3.029822473380472,1.410029768943787,13.030741705777
ALB,2016,national,consumption,3.038517368712439,1.447189092636108,13.335877223746
ALB,2016,national,income,4.95816415280841,1.87395167350769,10.582676521098
ALB,2017,national,consumption,3.028759545091204,1.428637862205505,13.207340743472
ALB,2017,national,income,4.545554794050248,1.798551440238953,11.078832396219
ALB,2018,national,consumption,2.701914763052627,1.367429256439209,14.170698885466
ALB,2018,national,income,4.062998715300984,1.682698011398315,11.596248899589
ALB,2019,national,consumption,2.5514344132287,1.333290219306946,14.631818313763
ALB,2020,national,consumption,2.512495131905294,1.33226466178894,14.847157669537
ARE,2013,national,income,.5748088427742175,1.5327467918396,74.662923281709
ARE,2018,national,income,.4853310626780448,1.407130360603333,81.18098022359899
ARG,1980,urban,income,1.394109200999341,1.766507983207703,35.479446616861
ARG,1986,urban,income,2.39731941867981,3.290042638778687,38.426751195005
ARG,1987,urban,income,2.362485903596686,2.963577270507813,35.124087320527
ARG,1991,urban,income,2.672737908523467,2.379152297973633,24.924353573377
ARG,1992,urban,income,3.056260312847208,2.743726253509521,25.136711188063
ARG,1993,urban,income,3.084788729256581,2.775161266326904,25.189574506685
ARG,1994,urban,income,3.387769846578072,3.011034488677979,24.88627255791
ARG,1995,urban,income,4.164076339790459,3.515842199325562,23.641156783667
ARG,1996,urban,income,4.816166409860052,3.983744144439697,23.160503034754
ARG,1997,urban,income,4.184862295585788,3.626927614212036,24.26698022729
ARG,1998,urban,income,4.110240500915554,3.459010124206543,23.56365321875
ARG,1999,urban,income,4.459001542539606,3.577045202255249,22.4618141485
ARG,2000,urban,income,4.750332016669541,3.727355718612671,21.970245449563
ARG,2001,urban,income,6.386010902396044,4.614911079406738,20.234463726807
